id,level_id,strand_id,book_code,title,slug,book_type,sequence_position,page_count,word_count,new_hfw,new_phonics,new_morpheme,comprehension_focus,reviewed_hfws,reviewed_phonics,teaching_summary,source_master,cover_image_url,pdf_url,audio_url,is_active
33,2,3,T-2-01,The Pet,t-2-01-the-pet,Tafiya Fiction,15,16,76,,,,Main Idea,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Main Idea,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-01.webp,/assets/placeholders/pdfs/t-2-01.pdf,/assets/placeholders/audio/t-2-01.mp3,1
34,2,3,T-2-02,At the Hut,t-2-02-at-the-hut,Tafiya Fiction,16,16,75,,,,Setting,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Setting,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-02.webp,/assets/placeholders/pdfs/t-2-02.pdf,/assets/placeholders/audio/t-2-02.mp3,1
35,2,3,T-2-03,Run and Get,t-2-03-run-and-get,Tafiya Fiction,17,16,62,,,,Sequence,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Sequence,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-03.webp,/assets/placeholders/pdfs/t-2-03.pdf,/assets/placeholders/audio/t-2-03.mp3,1
36,2,3,T-2-04,Hot Sun,t-2-04-hot-sun,Tafiya Fiction,18,16,68,,,,Problem/Solution,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Problem/Solution,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-04.webp,/assets/placeholders/pdfs/t-2-04.pdf,/assets/placeholders/audio/t-2-04.mp3,1
37,2,3,T-2-05,Sit and Get,t-2-05-sit-and-get,Tafiya Fiction,19,16,72,,,,Sequence,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Sequence,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-05.webp,/assets/placeholders/pdfs/t-2-05.pdf,/assets/placeholders/audio/t-2-05.mp3,1
38,2,3,T-2-06,The Hen,t-2-06-the-hen,Tafiya Fiction,20,16,69,,,,Characters,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Characters,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/t-2-06.webp,/assets/placeholders/pdfs/t-2-06.pdf,/assets/placeholders/audio/t-2-06.mp3,1
39,2,3,CB-2-01,Hot and Not,cb-2-01-hot-and-not,Tafiya Fiction,21,16,75,,,,Concept Understanding,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Concept Understanding,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/cb-2-01.webp,/assets/placeholders/pdfs/cb-2-01.pdf,/assets/placeholders/audio/cb-2-01.mp3,1
40,2,3,CB-2-02,Up and In,cb-2-02-up-and-in,Tafiya Fiction,22,16,67,,,,Concept Understanding,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Concept Understanding,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/cb-2-02.webp,/assets/placeholders/pdfs/cb-2-02.pdf,/assets/placeholders/audio/cb-2-02.mp3,1
41,2,3,PR-2-01,Tap Tap Tap,pr-2-01-tap-tap-tap,Tafiya Fiction,23,8,30,,,,Rhythm and Oral Language,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Rhythm and Oral Language,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/pr-2-01.webp,/assets/placeholders/pdfs/pr-2-01.pdf,/assets/placeholders/audio/pr-2-01.mp3,1
42,2,3,PR-2-02,Run Cat Run,pr-2-02-run-cat-run,Tafiya Fiction,24,8,29,,,,Rhythm and Oral Language,"a, the, I, and, is, he, she, was, his, to","s, a, t, p, i, n, m, g, o, c, k, e, u, r, h",Rhythm and Oral Language,L2_MASTER_v1_5_PG4_fixed.csv,/assets/placeholders/covers/pr-2-02.webp,/assets/placeholders/pdfs/pr-2-02.pdf,/assets/placeholders/audio/pr-2-02.mp3,1
